model,fold,selected_C,term,coefficient_standardized,scaler_mean,scaler_scale,imputation_median
routine_plus_bullied_logit,2,0.1,missingindicator_ST062Q03TA,-0.020954204265876308,0.01601115288749947,0.12551810973207247,
routine_plus_bullied_logit,2,0.1,missingindicator_BULLIED,0.08065038031986282,0.008787123484432427,0.09332689829465976,
routine_plus_bullied_logit,3,0.1,ST001D01T,0.025432841530780955,9.77973047188543,0.4886232492089915,10.0
routine_plus_bullied_logit,3,0.1,REPEAT,0.11201233358129192,0.18355794009547546,0.3871232655413277,0.0
routine_plus_bullied_logit,3,0.1,ST062Q01TA,0.09139301623219585,1.3285454775886105,0.6512630371900782,1.0
routine_plus_bullied_logit,3,0.1,ST062Q02TA,0.06961990096976206,1.3450635799079043,0.6735094658611946,1.0
routine_plus_bullied_logit,3,0.1,ST062Q03TA,0.09572224366456622,1.5667694647458916,0.8736739618320641,1.0
routine_plus_bullied_logit,3,0.1,BULLIED,0.5354651109570329,-0.43357839128046977,0.9343425878591606,-1.228
routine_plus_bullied_logit,3,0.1,missingindicator_REPEAT,0.04037697380476872,0.0028727134468336784,0.05352065922880677,
routine_plus_bullied_logit,3,0.1,missingindicator_ST062Q01TA,0.012949391080530753,0.015377466097756748,0.12304876933220052,
routine_plus_bullied_logit,3,0.1,missingindicator_ST062Q02TA,0.017161477845041875,0.01816568797262473,0.13355034913135183,
routine_plus_bullied_logit,3,0.1,missingindicator_ST062Q03TA,0.027882857293717943,0.01601115288749947,0.12551810973207247,
routine_plus_bullied_logit,3,0.1,missingindicator_BULLIED,0.05563447594560781,0.008533648768535339,0.0919827462474926,
routine_plus_bullied_logit,4,0.1,ST001D01T,0.009888729940220744,9.774586008786752,0.4934169088934921,10.0
routine_plus_bullied_logit,4,0.1,REPEAT,0.10011143115057697,0.18726765799256506,0.3901262388798589,0.0
routine_plus_bullied_logit,4,0.1,ST062Q01TA,0.11406895375155743,1.3331361946603582,0.661833300291934,1.0
routine_plus_bullied_logit,4,0.1,ST062Q02TA,0.02532364634392648,1.3461051030753632,0.6708506479535746,1.0
routine_plus_bullied_logit,4,0.1,ST062Q03TA,0.10820567897719208,1.568012842176411,0.8731785784392659,1.0
