model,split,group_axis,group,n,events,weighted_prevalence,auprc,auroc,brier,calibration_intercept,calibration_slope,recall_at_global_10pct_capacity,precision_at_global_10pct_capacity,selection_rate
expanded_logit,school_nested,escs_weighted_tertile,high,10157,1066,0.11087634837282896,0.2566519737816378,0.71802445401887,0.09189699097780842,-0.18976795554505566,0.9934496498157362,0.22959430453031995,0.3718575877112196,0.06845786918106517
expanded_logit,region_iecv,sex,female,14663,2604,0.18888800523958946,0.37933207611054964,0.7212571063774743,0.13956353524855022,0.34364440164971216,1.0329466328592856,0.2584526156700623,0.46531441605731433,0.10491529455829104
expanded_logit,region_iecv,sex,male,14925,1453,0.10323940950045454,0.22135714329793493,0.7070634993845561,0.08993689179897489,-0.5946677293778935,0.8702799284362509,0.26479153366996316,0.28729519231562656,0.09515272899789426
expanded_logit,region_iecv,immigration_background,native,25034,3116,0.13233832405181511,0.28608427318846774,0.7234669500680113,0.10574960986814862,-0.04915692872821035,1.007520952926542,0.23620978043900237,0.37163190164639387,0.08411443239791662
expanded_logit,region_iecv,immigration_background,immigrant,3765,777,0.20585904087890494,0.35128627680879565,0.6677418963106247,0.1542971868179894,-0.09105690602721707,0.7800442017849735,0.2980342264114378,0.3985680230659298,0.15393367367054472
expanded_logit,region_iecv,escs_weighted_tertile,low,9221,1551,0.174071136005217,0.3351996321379741,0.7079192879979945,0.13219465590027343,-0.02834522420597367,0.9206950815556397,0.3024969058511082,0.40197399835498343,0.1309934977263506
expanded_logit,region_iecv,escs_weighted_tertile,middle,9997,1388,0.1492357801380013,0.29587135149955957,0.7142827917297105,0.1176051144134876,-0.03874627393776213,0.9553666738978492,0.2340142147018312,0.3641475508853469,0.09590423939279831
expanded_logit,region_iecv,escs_weighted_tertile,high,10157,1066,0.11087634837282896,0.2561010455887642,0.7161652781847616,0.09200022481091143,-0.2161391095668431,0.9812641625482909,0.22005782387470965,0.3624974046197854,0.06730864174790623
expanded_hgb,school_nested,sex,female,14663,2604,0.18888800523958946,0.3846973763298046,0.7294667083835926,0.13722793414445297,0.20917824456533243,0.9696811663741446,0.29772571786235014,0.46772940830518756,0.12023365637691591
expanded_hgb,school_nested,sex,male,14925,1453,0.10323940950045454,0.25454282609520895,0.7319243550432508,0.08670830735676598,-0.3476346475437212,0.9887368139363236,0.2506666571372513,0.3232961188220556,0.08004636046542374
expanded_hgb,school_nested,immigration_background,native,25034,3116,0.13233832405181511,0.3213510065331129,0.742143405226136,0.10265915488338184,0.03568389405898613,1.0510431297960006,0.26841212520457286,0.4166412828368702,0.08525609983460748
expanded_hgb,school_nested,immigration_background,immigrant,3765,777,0.20585904087890494,0.36191760977406373,0.6820556565382856,0.15244049924153116,-0.11543567563885904,0.7806466484070468,0.31475473990987246,0.40933448186959137,0.15829379575839989
expanded_hgb,school_nested,escs_weighted_tertile,low,9221,1551,0.174071136005217,0.35710317921428697,0.7285005528553491,0.12899971598932622,0.062327174829302355,0.9770523913134523,0.30918769230931725,0.43505585029313115,0.12370975543220754
expanded_hgb,school_nested,escs_weighted_tertile,middle,9997,1388,0.1492357801380013,0.3195562854506447,0.7293603260306987,0.11534727940382596,-0.03250653198994415,0.9536697242718378,0.2615844156339236,0.3865057664068526,0.10100173847853787
expanded_hgb,school_nested,escs_weighted_tertile,high,10157,1066,0.11087634837282896,0.3023044463532989,0.7335418353384655,0.08898494066195337,-0.10860918796800995,1.0418036765512373,0.27309917437119446,0.4109693123185505,0.07368004931336992
expanded_hgb,region_iecv,sex,female,14663,2604,0.18888800523958946,0.3770436989546176,0.7281266074299942,0.13744938247488792,0.17601106734078964,0.9571280608002768,0.30585512475353677,0.47644653043403706,0.12125676380594358
expanded_hgb,region_iecv,sex,male,14925,1453,0.10323940950045454,0.25105872555623915,0.7287981614452717,0.08711293873634349,-0.3705804519318281,0.9759340650069136,0.25550696020160635,0.33374558999092085,0.07903741198554136
expanded_hgb,region_iecv,immigration_background,native,25034,3116,0.13233832405181511,0.31394120352947785,0.7405344616235623,0.10300846168974155,0.009719166714247517,1.0398873029561813,0.27393675216951663,0.4251809299907313,0.08526330350493738
expanded_hgb,region_iecv,immigration_background,immigrant,3765,777,0.20585904087890494,0.36230720721619775,0.6773983830681487,0.15291011478565295,-0.1586474758688014,0.7584801298750967,0.3211351715332921,0.41262430546919493,0.16021494014792484
expanded_hgb,region_iecv,escs_weighted_tertile,low,9221,1551,0.174071136005217,0.3561728639023059,0.727725895114615,0.1290367270592776,0.05624267847676453,0.9770771459028262,0.3175925923598426,0.44586068468089907,0.12399322308152368
expanded_hgb,region_iecv,escs_weighted_tertile,middle,9997,1388,0.1492357801380013,0.31230197308707397,0.7261841128147075,0.11558839437161904,-0.06732713027231861,0.9391955048709756,0.2710844486383495,0.40407443449221736,0.10011892790659396
expanded_hgb,region_iecv,escs_weighted_tertile,high,10157,1066,0.11087634837282896,0.2940082447817564,0.7332997435509636,0.08946669350856398,-0.1434688287639839,1.027158755064216,0.2721464689773201,0.40876034570296965,0.07381979935179758
